TICID,Camera,CCD,Tmag,RA,Dec,sector
2527981,1,4,14.46,289.0979,-29.337,27
2670610,1,4,11.54,289.3771,-29.0495,27
8112435,1,1,8.28,301.2103,-39.5598,27
8194633,1,2,8.02,311.3483,-41.5708,27
24706089,3,4,8.0,25.7738,-69.5726,27
24706112,3,4,16.34,25.6485,-69.6375,27
25078597,4,1,11.75,60.343,-70.8621,27
25132314,4,1,8.03,62.1285,-68.7022,27
25133286,4,1,13.58,62.2984,-71.2948,27
25153759,4,1,17.32,63.0189,-68.1525,27
25155310,4,1,10.61,63.375,-69.2265,27
29781292,4,1,8.94,65.2384,-68.1027,27
29830830,4,1,11.7,66.4721,-66.8995,27
29831118,4,1,8.06,66.4705,-67.5722,27
29986479,4,1,8.01,72.8589,-68.4398,27
30037565,4,1,9.6,73.5421,-70.379,27
30312676,4,1,11.3,74.2868,-66.3903,27
30421442,1,4,8.03,285.7592,-32.7457,27
30631031,4,1,7.28,75.1644,-70.6238,27
30853028,4,1,8.11,75.7767,-66.9099,27
30853470,4,1,11.3,75.9161,-66.6548,27
30900417,1,4,8.05,287.7025,-32.392,27
31189268,4,1,12.84,76.8662,-69.8789,27
31266926,4,2,9.64,88.1559,-71.5155,27
31381302,4,2,12.49,88.3604,-71.5616,27
31553893,1,4,9.38,288.9118,-31.7908,27
31560152,1,4,8.04,288.8551,-35.0588,27
31674330,3,4,11.58,47.6299,-68.6015,27
31705248,4,1,8.08,48.4743,-67.1846,27
31740375,4,1,11.8,48.3177,-66.4075,27
31814318,4,1,8.02,51.2205,-68.3343,27
31858844,1,4,15.71,289.4785,-32.8613,27
31942864,3,4,8.48,54.2052,-71.7222,27
31959467,1,4,13.83,289.7073,-31.078,27
32000460,4,1,8.45,56.1969,-71.7036,27
32036692,4,1,8.16,56.7999,-67.3906,27
32068755,4,1,14.89,57.6572,-69.3492,27
32072326,4,1,8.85,58.1708,-69.4257,27
32090583,4,1,13.33,58.4225,-68.7384,27
33716446,3,4,16.27,60.734,-75.9334,27
33831980,3,4,11.98,63.4158,-76.0981,27
33834484,4,1,14.11,63.8381,-72.8615,27
33836359,4,1,8.08,64.0614,-75.344,27
33864387,4,1,11.4,65.4139,-72.5654,27
33866571,3,4,8.39,65.7919,-76.1855,27
33878688,4,1,11.18,66.2219,-73.3336,27
