TICID,sector
11001,1
29465,2
34920,2
38731,1
58548,1
61001,2
70111,1
75467,2
82063,1
82066,1
89462,2
102030,1
105245,2
120016,1
134947,1
146287,1
148113,1
148698,1
155237,1
161070,1
593228,1
593230,1
597917,1
608932,1
614556,1
626529,1
672624,1
737327,1
758285,1
767943,1
770004,1
816569,1
816793,1
816939,2
820148,2
821535,1
821838,1
829147,2
859708,1
860871,1
861705,1
863395,1
864120,1
864384,1
887930,1
889655,1
890962,1
892138,1
892149,1
913056,1
916550,1
916708,1
920454,1
921831,1
924261,1
926898,1
967108,1
967114,1
972497,1
972858,1
972914,1
973569,1
975989,1
990206,2
990995,1
991159,2
994137,1
1003831,1
1007010,1
1008115,1
1008352,1
1018843,2
1027928,2
1039707,2
1043105,1
1043354,1
1044740,1
1107885,2
1116746,1
1119071,1
1122511,1
1129033,1
1141092,1
1192946,2
1232360,1
1235623,1
1258935,1
1258971,1
1273249,1
1274876,1
1338424,1
1340650,1
1359317,1
1360104,1
1362343,1
1396359,1
1407086,1
1438316,1
1440684,1
1442449,1
1472576,1
1517807,1
1522726,1
1525268,1
1528696,1
1533494,1
1539230,1
1539914,1
1573395,2
1588469,2
1594806,1
1595409,2
1596649,1
1597620,1
1598010,1
1599408,1
1601975,1
1605355,2
1606149,1
1606178,1
1607572,1
1628071,1
1628988,2
1629601,2
1629931,1
1644557,1
1648702,1
1649491,1
1649581,1
1650234,1
1653065,2
1668722,1
1677334,1
1679339,1
1694042,1
1694043,1
1712781,1
1727745,1
1730647,2
1732081,3
1749835,1
1749915,1
1758607,3
1950893,2
2084703,2
2088340,2
2089490,1
2092269,2
2094712,2
2137185,1
2140147,2
2220886,2
2224747,2
2470992,1
2473207,1
2488597,1
2489981,1
2514016,4
2515421,6
2518982,2
2527981,1
2670610,1
2733150,1
2733409,2
2733611,1
2733719,1
2758909,1
2759596,1
2759628,1
2760232,2
2760710,2
2761472,2
2762118,1
2763180,1
2772825,1
2778003,5
2835763,1
2835989,1
2852467,3
2886071,2
2886586,2
2937947,1
2941495,1
2944024,3
3033448,6
3096937,1
3127674,3
3239564,2
3359004,1
3365218,2
3458822,1
3542277,1
3546077,2
3567346,1
3567372,1
3645392,4
3645653,2
3657908,2
3657911,1
3662563,5
3664898,4
3666477,1
3723412,1
3800877,1
3801639,1
3806888,1
3811994,1
3813653,1
3814749,1
3814944,1
3815618,1
3816118,1
3816804,1
3817616,1
3836541,1
3888273,1
3894294,1
3896900,1
3899410,1
3901009,1
3905338,1
3922848,1
3923889,1
3942381,1
3959220,2
3960701,1
3962570,1
3962869,1
3985450,1
3987960,1
3990402,1
3990629,1
4007712,4
4008073,1
4040541,1
4050156,1
4065085,1
4068716,1
4077772,3
4116436,1
4135255,4
4162799,1
4164713,1
4197116,1
4197629,1
4197800,1
4205592,1
4284744,7
4286321,1
4286322,1
4287299,2
4293565,1
4298631,1
4298978,1
4300064,1
4303048,1
4357066,1
4376623,1
4382022,1
4382682,1
4383513,2
4385083,1
4385494,1
4386949,1
4390067,3
4400550,1
4407992,1
4429921,1
4431490,4
4464307,2
4488436,2
4488446,1
4488824,1
4489078,1
4491044,1
4491131,2
4506340,3
4512727,2
4513643,1
4555425,1
4559038,6
4560428,1
4580320,2
4581907,1
4588120,3
4600989,2
4601217,1
4604077,1
4605387,1
4605389,1
4606456,6
4610830,1
4611407,1
4611797,1
4612575,1
4613848,1
4616072,1
4622906,2
4624167,2
4632676,1
4667786,1
4671860,1
4672985,1
4694453,1
4698072,1
4698361,1
4715901,1
4723156,1
4732019,1
4739639,1
4742308,1
4742417,1
4743939,1
4748040,1
4750626,1
4839140,1
4839305,1
4839339,1
4844773,1
4871550,2
4891290,1
4897275,1
4970499,2
4972033,1
4983692,1
4988960,1
4989397,1
4991382,1
5080227,1
5081800,1
5097543,1
5358242,1
5362024,1
5392904,2
5394046,1
5452928,2
5505066,1
5506063,1
5530177,1
5550208,3
5550874,1
5576756,1
5577274,1
5595193,1
5611236,1
5615126,2
5624184,3
5630425,1
5632933,1
5636651,2
5640278,1
5640393,1
5643323,2
5644430,1
5647251,1
5654308,1
5655357,1
5656272,1
5656273,3
5671350,1
5672399,1
5676443,1
5676537,1
5678173,3
5717323,4
5717722,1
5717818,1
5724121,1
5724661,2
5727070,1
5778313,4
5796048,1
5796235,1
5796523,3
5796540,2
5808123,4
5816844,1
5818164,1
5820523,1
5867270,1
5870216,1
5881491,1
5882269,1
5888523,1
